video,static_bleu,static_composite,adaptive_bleu,adaptive_composite
11.mp4,88.88470859772478,0.8940762503309354,85.72104132945137,0.8665905024657218
12.mp4,79.71839550841,0.8364356070845088,78.30863847423817,0.8129469896260791
13.mp4,85.99315591563621,0.8617266498552251,85.68641423379368,0.8657644928128149
14.mp4,78.19451605811793,0.788320943362037,80.03806060254972,0.7972437255045206
15.mp4,90.74996642423778,0.9054333203078678,88.56362105184803,0.8760872881351442
16.mp4,86.19360178293934,0.8601429077460242,88.04358050342334,0.882341575458793
17.mp4,80.66100056132073,0.8345467988807791,82.11415801957857,0.8271281516116397
18.mp4,85.35605168885161,0.8577238478447656,83.55074701673809,0.8398294027076977
19.mp4,80.42120064176575,0.8119701501802891,79.80091798646934,0.8079459085462422
20.mp4,81.26243719137675,0.8009614000800407,79.73006401025056,0.7895771841937611
21.mp4,77.19296038019107,0.7885839087262401,77.19296038019107,0.7885839087262401
22.mp4,75.6883387786023,0.8054061019761634,78.35768878028998,0.8165066798510549
23.mp4,94.16150229404892,0.9309511975402232,92.20899381129732,0.9160310676363475
24.mp4,84.08940396327182,0.8494467638425661,83.9496387512876,0.857163574325371
25.mp4,83.92905140949725,0.8594752696822698,87.40962947777275,0.8692972191823323
26.mp4,80.73519548206244,0.8289447245592645,80.95130846176261,0.82534738100324
27.mp4,85.21455671049385,0.8506773002899535,86.72057390382315,0.859640113884153
