threshold,avg_bleu,avg_cer,avg_char_acc,avg_composite
0,75.43494900043824,0.3215990544780708,0.9049173008848085,0.7772537523223881
20,80.51196945213236,0.2172241086161152,0.9198259634009952,0.8271936122658097
40,82.33411525875759,0.1911061676995839,0.9299111451011922,0.8427661922766835
50,82.92307853792899,0.1793682697677682,0.9249683573970302,0.843671911471996
60,83.43800255226755,0.1646879894261676,0.923292334691077,0.8449895966052443
70,83.09368149767738,0.1594214686381012,0.9187594011989213,0.8398147522912232
80,82.91939371369227,0.1503418126620051,0.9154869440396893,0.8358908230821815
100,78.40765803832299,0.1626398528782357,0.902462902111169,0.7973284184384912
